/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
3660,6,0,748,960,0,0,19,2,10,200,180,0
3760,6,0,148,860,0,0,19,2,10,200,180,0
3760,6,0,748,860,0,0,19,2,10,200,180,0
3860,6,0,148,760,0,0,19,2,10,200,180,0
3860,6,0,748,760,0,0,19,2,10,200,180,0
3960,6,0,148,660,0,0,19,2,10,200,180,0
3960,6,0,748,660,0,0,19,2,10,200,180,0
4060,6,0,148,560,0,0,19,2,10,200,180,0
4060,6,0,748,560,0,0,19,2,10,200,180,0
4160,6,0,148,460,0,0,19,2,10,200,180,0
4160,6,0,748,460,0,0,19,2,10,200,180,0
4260,6,0,148,360,0,0,19,2,10,200,180,0
4260,6,0,748,360,0,0,19,2,10,200,180,0
4360,6,0,148,260,0,0,19,2,10,200,180,0
4360,6,0,748,260,0,0,19,2,10,200,180,0
4460,6,0,148,160,0,0,19,2,10,200,180,0
4460,6,0,748,160,0,0,19,2,10,200,180,0
//中ボス2,,,,,,,,,,,,
5100,4,2,-16,50,0,0,20,0,6,800,0,3
5150,4,2,-16,50,0,0,20,0,6,800,0,3
5200,4,2,-16,50,0,0,20,0,6,800,0,3
5250,4,2,-16,50,0,0,20,0,6,800,0,3
5300,4,2,-16,50,0,0,20,0,6,800,0,3
5350,4,2,-16,50,0,0,20,0,6,800,0,3
5400,4,2,-16,50,0,0,20,0,6,800,0,3
5450,4,2,-16,50,0,0,20,0,6,800,0,3
5500,4,2,-16,50,0,0,20,0,6,800,0,3
5550,4,2,-16,50,0,0,20,0,6,800,0,3
5600,4,2,-16,50,0,0,20,0,6,800,0,3
5650,4,2,-16,50,0,0,20,0,6,800,0,3
5700,4,2,-16,50,0,0,20,0,6,800,0,3
5750,4,2,-16,50,0,0,20,0,6,800,0,3
5800,4,2,-16,50,0,0,20,0,6,800,0,3
5850,4,2,-16,50,0,0,20,0,6,800,0,3
5900,4,2,-16,50,0,0,20,0,6,800,0,3
5950,4,2,-16,50,0,0,20,0,6,800,0,3
6000,4,2,-16,50,0,0,20,0,6,800,0,3
6050,4,2,-16,50,0,0,20,0,6,800,0,3
6100,4,2,-16,50,0,0,20,0,6,800,0,3
6150,4,2,-16,50,0,0,20,0,6,800,0,3
6200,4,2,-16,50,0,0,20,0,6,800,0,3
6250,4,2,-16,50,0,0,20,0,6,800,0,3
6300,4,2,-16,50,0,0,20,0,6,800,0,3
6350,4,2,-16,50,0,0,20,0,6,800,0,3
6400,4,2,-16,50,0,0,20,0,6,800,0,3
6450,4,2,-16,50,0,0,20,0,6,800,0,3
6500,4,2,-16,50,0,0,20,0,6,800,0,3
6550,4,2,-16,50,0,0,20,0,6,800,0,3
6600,4,2,-16,50,0,0,20,0,6,800,0,3
6650,4,2,-16,50,0,0,20,0,6,800,0,3
6700,4,2,-16,50,0,0,20,0,6,800,0,3
6750,4,2,-16,50,0,0,20,0,6,800,0,3
6800,4,2,-16,50,0,0,20,0,6,800,0,3
6850,4,2,-16,50,0,0,20,0,6,800,0,3
6900,4,2,-16,50,0,0,20,0,6,800,0,3
6950,4,2,-16,50,0,0,20,0,6,800,0,3
7000,4,2,-16,50,0,0,20,0,6,800,0,3
5100,3,2,833,50,0,0,21,2,11,100,0,3
5220,3,2,833,50,0,0,21,2,11,100,0,3
5340,3,2,833,50,0,0,21,2,11,100,0,3
5460,3,2,833,50,0,0,21,2,11,100,0,3
5580,3,2,833,50,0,0,21,2,11,100,0,3
5700,3,2,833,50,0,0,21,2,11,100,0,3
5820,3,2,833,50,0,0,21,2,11,100,0,3
5940,3,2,833,50,0,0,21,2,11,100,0,3
6060,3,2,833,50,0,0,21,2,11,100,0,3
6180,3,2,833,50,0,0,21,2,11,100,0,3
6300,3,2,833,50,0,0,21,2,11,100,0,3
6420,3,2,833,50,0,0,21,2,11,100,0,3
6540,3,2,833,50,0,0,21,2,11,100,0,3
6660,3,2,833,50,0,0,21,2,11,100,0,3
6780,3,2,833,50,0,0,21,2,11,100,0,3
6900,3,2,833,50,0,0,21,2,11,100,0,3
7160,6,0,448,180,0,0,16,0,3,1500,90,0
7210,6,0,423,180,0,0,16,0,3,1500,90,0
7260,6,0,398,180,0,0,16,0,3,1500,90,0
7310,6,0,373,180,0,0,16,0,3,1500,90,0
7360,6,0,348,180,0,0,16,0,3,1500,90,0
7410,6,0,323,180,0,0,16,0,3,1500,90,0
7460,6,0,298,180,0,0,16,0,3,1500,90,0
7510,6,0,273,180,0,0,16,0,3,1500,90,0
7560,6,0,248,180,0,0,16,0,3,1500,90,0
7610,6,0,223,180,0,0,16,0,3,1500,90,0
7660,6,0,198,180,0,0,16,0,3,1500,90,0
7710,6,0,173,180,0,0,16,0,3,1500,90,0
7760,6,0,148,180,0,0,16,0,3,1500,90,0
7810,6,0,123,180,0,0,16,0,3,1500,90,0
7860,6,0,98,180,0,0,16,0,3,1500,90,0
7160,6,0,448,180,0,0,16,2,3,1500,90,0
7210,6,0,473,180,0,0,16,2,3,1500,90,0
7260,6,0,498,180,0,0,16,2,3,1500,90,0
7310,6,0,523,180,0,0,16,2,3,1500,90,0
7360,6,0,548,180,0,0,16,2,3,1500,90,0
7410,6,0,573,180,0,0,16,2,3,1500,90,0
7460,6,0,598,180,0,0,16,2,3,1500,90,0
7510,6,0,623,180,0,0,16,2,3,1500,90,0
7560,6,0,648,180,0,0,16,2,3,1500,90,0
7610,6,0,673,180,0,0,16,2,3,1500,90,0
7660,6,0,698,180,0,0,16,2,3,1500,90,0
7710,6,0,723,180,0,0,16,2,3,1500,90,0
7760,6,0,748,180,0,0,16,2,3,1500,90,0
7810,6,0,773,180,0,0,16,2,3,1500,90,0
7860,6,0,798,180,0,0,16,2,3,1500,90,0
